web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,image_labels,REPLACED_LABELS,Ambience attributes,Human/ facial attributes,Objects/ animals,Product attributes,goal,Raised,people,time,updates,updates-href,createdby,today,no of days,shares
1543713550-1762,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-ashley039s-business-rebuild,https://d2g8igdw686xgo.cloudfront.net/32456888_1535335925869487_r.jpg,car motor vehicle vehicle automotive tire mode of transport automotive design luxury vehicle tire wheel automotive wheel system, vehicle  motor vehicle vehicle automotive tire mode of transport automotive design luxury vehicle tire wheel automotive wheel system,0.071428571,0.071428571,0.071428571,0.785714286,2000,2320,42,Raised by 42 people in 3 months,   1,https://www.gofundme.com/help-ashley039s-business-rebuild#updates,8/26/18,12/5/18,100,350
1543711783-1102,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/making-mexico-odd,https://d2g8igdw686xgo.cloudfront.net/29019398_15233841980_r.jpeg,social group musician event musical ensemble music facial hair fun darkness performance midnight,social group musician event musical ensemble music  people   _people  fun darkness perfor people ce midnight,0.973684211,0.00877193,0.00877193,0.00877193,2000,230,6,Raised by 6 people in 7 months,0,,4/10/18,12/5/18,238,115
1543711833-1121,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/wht-leadership-and-alumni-programme,https://d2g8igdw686xgo.cloudfront.net/30681260_1529334287713677_r.jpeg,social group audience choir event,social group audience choir event,0.130952381,0.011904762,0.011904762,0.845238095,762,443,30,Raised by 30 people in 5 months,   1,https://www.gofundme.com/wht-leadership-and-alumni-programme#updates,6/18/18,12/5/18,169,15
1543712038-1199,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/sdtx5-i-would-like-to-start-a-business,https://d2g8igdw686xgo.cloudfront.net/33908632_1540165004278465_r.jpg,people day male grass product vacation fun recreation summer family,people day male grass product vacation fun recreation summer  people ,0.007462687,0.97761194,0.007462687,0.007462687,10000,0,0,Campaign created 1 month ago,0,,10/21/18,12/5/18,44,0
1543712715-1456,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-keep-our-local-businesses,https://d2g8igdw686xgo.cloudfront.net/34384568_1541814752375400_r.jpeg,window door,window door,0.689189189,0.013513514,0.283783784,0.013513514,1500,475,8,Raised by 8 people in 21 days,   1,https://www.gofundme.com/help-keep-our-local-businesses#updates,11/9/18,12/5/18,25,30
1543711734-1088,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/david-beers-funeral-fund,https://d2g8igdw686xgo.cloudfront.net/28282284_15206265200_r.jpeg,water fun vacation leisure sea summer smile recreation endurance sports boating,water fun vacation leisure sea summer  people  recreation endurance sports boating,0.622807018,0.00877193,0.359649123,0.00877193,5000,510,11,Raised by 11 people in 8 months,   1,https://www.gofundme.com/david-beers-funeral-fund#updates,3/9/18,12/5/18,270,117
1543712952-1544,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/keep-sylvias-business-going,https://d2g8igdw686xgo.cloudfront.net/23955816_1505675315.7508.jpg,product,product,0.03221419,0.009066042,0.28684382,0.671875947,30000,1795,26,Raised by 26 people in 14 months,0,,9/17/17,12/5/18,443,115
1543713501-1743,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/huey-sbusiness,https://d2g8igdw686xgo.cloudfront.net/23607004_1504548765.6152.jpg,social group community youth crowd fun tree recreation event team product,social group community youth crowd fun tree recreation event team product,0.015625,0.171875,0.015625,0.796875,50000,11979,67,Raised by 67 people in 15 months,   2,https://www.gofundme.com/huey-sbusiness#updates,9/4/17,12/5/18,456,151
1543712063-1209,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/wjzww-i-want-to-start-my-own-business,https://d2g8igdw686xgo.cloudfront.net/34701010_1542706737794015_r.jpeg,light lighting technology display device darkness computer wallpaper,light lighting technology display device darkness computer wallpaper,0.689189189,0.013513514,0.148648649,0.148648649,1270,0,0,Campaign created 11 days ago,0,,11/20/18,12/5/18,14,0
1543712895-1522,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/race-advisors,,#N/A,#N/A, , , , ,3000,1477,39,Raised by 39 people in 12 months,   3,https://www.gofundme.com/race-advisors#updates,11/20/17,12/5/18,379,63
1543711613-1049,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/q7v9vr-laser-fund,https://d2g8igdw686xgo.cloudfront.net/34379686_1541803394628252_r.jpeg,dishware font,dishware font,0.00877193,0.00877193,0.00877193,0.973684211,5000,5755,151,Raised by 151 people in 22 days,   3,https://www.gofundme.com/q7v9vr-laser-fund#updates,11/9/18,12/5/18,25,10
1543713952-1912,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-nat-rebuild-his-business,https://d2g8igdw686xgo.cloudfront.net/34654392_1542578383615769_r.jpeg,sunglasses eyewear glasses fashion accessory vision care headgear fun cool facial hair product,sunglasses  glasses  glasses fashion accessory vision  vehicle e  people gear fun cool  people   _people  product,0.008064516,0.975806452,0.008064516,0.008064516,25000,4760,67,Raised by 67 people in 13 days,0,,11/18/18,12/5/18,16,269
1543711546-1025,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/saveclayknobfarm,,#N/A,#N/A, , , , ,263426,120195,"3,263","Raised by 3,263 people in 15 months",0,,8/29/17,12/5/18,462,13000
1543713988-1924,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/paradisecastartingover,https://d2g8igdw686xgo.cloudfront.net/34413480_1541911476491977_r.jpeg,people day tree family recreation girl product fun plaid pattern,people day tree  people  recreation  people  product fun plaid pattern,0.00877193,0.973684211,0.00877193,0.00877193,25000,10400,81,Raised by 81 people in 20 days,0,,11/10/18,12/5/18,24,632
1543711585-1039,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/phoenix-rising-through-the-ashes,https://d2g8igdw686xgo.cloudfront.net/34774156_1543262170332427_r.jpeg,rock geological phenomenon geology water tree recreation,rock geological phenomenon geology water tree recreation,0.490384615,0.009615385,0.490384615,0.009615385,25000,8202,89,Raised by 89 people in 6 days,   1,https://www.gofundme.com/phoenix-rising-through-the-ashes#updates,11/25/18,12/5/18,9,392
1543713046-1576,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/4s8k7-complete-loss-of-home-property-amp-business,https://d2g8igdw686xgo.cloudfront.net/34823474_1543138434444660_r.jpeg,tree woody plant plant woodland forest car vehicle landscape wood winter,tree woody plant plant woodland forest  vehicle  vehicle landscape wood winter,0.011904762,0.845238095,0.011904762,0.130952381,25000,448,7,Raised by 7 people in 6 days,0,,11/25/18,12/5/18,9,30
1543712699-1450,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/hood-certified-510-business-startup,https://d2g8igdw686xgo.cloudfront.net/32675078_1536983731151402_r.jpeg,blue art graphic design design font graphics illustration mural,blue art graphic design design font graphics illustration mural,0.971153846,0.009615385,0.009615385,0.009615385,2000,320,10,Raised by 10 people in 2 months,   1,https://www.gofundme.com/hood-certified-510-business-startup#updates,9/3/18,12/5/18,92,95
1543713404-1707,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/alyciahill,https://d2g8igdw686xgo.cloudfront.net/_1534903210952390_r.jpg,clothes hanger dress fashion design brand,clothes hanger dress fashion design brand,0.011904762,0.130952381,0.011904762,0.845238095,15000,600,16,Raised by 16 people in 3 months,0,,8/15/18,12/5/18,111,56
1543711650-1061,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/tea-amp-sympathy-need-your-sympathy,https://d2g8igdw686xgo.cloudfront.net/34516142_1542207937895793_r.jpeg,street facade window display window house door,street facade window display window house door,0.394230769,0.586538462,0.009615385,0.009615385,100000,34575,545,Raised by 545 people in 17 days,0,,11/14/18,12/5/18,20,3100
1543713933-1905,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/drew-ford-needs-your-help,https://d2g8igdw686xgo.cloudfront.net/25122454_1526167152.6373.png,text logo product font brand graphic design product graphics label advertising,text logo product font brand graphic design product graphics label advertising,0.447368421,0.00877193,0.535087719,0.00877193,10000,5675,135,Raised by 135 people in 13 months,   15,https://www.gofundme.com/drew-ford-needs-your-help#updates,11/4/17,12/5/18,395,510
1543712005-1186,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/eco-friendly-hotel-business,https://d2g8igdw686xgo.cloudfront.net/31772444_1533053861753421_r.jpeg,face person facial expression head chin facial hair forehead smile human portrait,face  people   people  expression  people   people   people   _people   people   people   people  portrait,0.973684211,0.00877193,0.00877193,0.00877193,960,0,0,Campaign created 3 months ago,0,,8/5/18,12/5/18,121,0
1543712430-1344,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/helping-to-rebuild-business,https://d2g8igdw686xgo.cloudfront.net/24499308_1507465614.2328.jpg,skin child smile eyebrow cheek emotion girl forehead mouth black hair,skin  people   people   people   people  emotion  people   people  mouth black  _people ,0.011904762,0.964285714,0.011904762,0.011904762,1000,555,16,Raised by 16 people in 13 months,   3,https://www.gofundme.com/helping-to-rebuild-business#updates,10/8/17,12/5/18,422,79
1543713441-1721,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/bandsmas-home-and-business-fire,https://d2g8igdw686xgo.cloudfront.net/22633020_1501357873.0972.jpg,sky tree wilderness winter road car asphalt mountain plant vehicle,sky tree wilderness winter road  vehicle  asphalt mountain plant vehicle,0.022727273,0.931818182,0.022727273,0.022727273,10000,6675,35,Raised by 35 people in 16 months,   3,https://www.gofundme.com/bandsmas-home-and-business-fire#updates,7/29/17,12/5/18,493,278
1543713601-1782,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/let039s-start-my-real-estate-business,https://d2g8igdw686xgo.cloudfront.net/31839240_1534018319336019_r.jpg,person glasses chin vision care forehead spokesperson eyewear, people  glasses  people  vision  vehicle e  people  spokes people   glasses ,0.009615385,0.009615385,0.009615385,0.971153846,3800,6300,64,Raised by 64 people in 4 months,   3,https://www.gofundme.com/let039s-start-my-real-estate-business#updates,8/2/18,12/5/18,124,265
1543713612-1786,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/stolen-business-equipment,https://d2g8igdw686xgo.cloudfront.net/22779882_15018617060_r.jpeg,furniture desk room table property home floor house chair window,furniture desk room table property home floor house c _people  window,0.006097561,0.006097561,0.067073171,0.920731707,2000,1125,24,Raised by 24 people in 16 months,   1,https://www.gofundme.com/stolen-business-equipment#updates,8/4/17,12/5/18,487,229
1543712297-1299,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-mark-start-his-businesses,https://d2g8igdw686xgo.cloudfront.net/26858634_1515682182.702.jpg,public speaking speech orator official communication speaker preacher,public speaking speech orator official communication speaker preacher,0.778846154,0.009615385,0.009615385,0.201923077,4000,605,15,Raised by 15 people in 10 months,0,,1/10/18,12/5/18,328,45
1543712576-1403,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/PaigeReilly,https://d2g8igdw686xgo.cloudfront.net/32546176_1535585746161798_r.jpeg,nature photograph green beauty girl tree leaf lady photography eye,nature photograph green beauty  people  tree leaf lady photography eye,0.005747126,0.005747126,0.982758621,0.005747126,800,325,11,Raised by 11 people in 3 months,   3,https://www.gofundme.com/PaigeReilly#updates,8/29/18,12/5/18,97,41
1543713281-1662,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/camp-fire-took-our-homes-amp-business,https://d2g8igdw686xgo.cloudfront.net/34405466_1541888658610426_r.jpeg,tree path woodland landscape trail forest vehicle village road land lot,tree path woodland landscape trail forest vehicle village road land lot,0.010638298,0.010638298,0.010638298,0.968085106,10000,3335,26,Raised by 26 people in 21 days,0,,11/10/18,12/5/18,24,60
1543713913-1899,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/support-each-other039s-business,https://d2g8igdw686xgo.cloudfront.net/33800758_1539737563603396_r.jpeg,grassland ecosystem vegetation prairie nature reserve pasture meadow grass wilderness shrubland,grassland ecosystem vegetation prairie nature reserve pasture meadow grass wilderness shrubland,0.013513514,0.013513514,0.959459459,0.013513514,300,70,12,Raised by 12 people in 1 month,0,,10/16/18,12/5/18,49,40
1543713469-1732,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/campfire-victim-restarting-business,https://d2g8igdw686xgo.cloudfront.net/34441178_154209073399650_r.jpg,dessert food gift snack chocolate finger food cookies and crackers lebkuchen,dessert food gift snack chocolate finger food cookies and crackers lebkuchen,0.875,0.105769231,0.009615385,0.009615385,10000,1135,9,Raised by 9 people in 19 days,   1,https://www.gofundme.com/campfire-victim-restarting-business#updates,11/11/18,12/5/18,23,143
1543712160-1247,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ghdmb-business-startup,https://d2g8igdw686xgo.cloudfront.net/32475922_1535409167770945_r.jpeg,dish food fried food fast food po boy finger food vegetarian food appetizer sandwich american food,dish food fried food fast food po boy finger food vegetarian food appetizer sandwich american food,0.018518519,0.944444444,0.018518519,0.018518519,50000,0,0,Campaign created 3 months ago,0,,8/27/18,12/5/18,99,8
1543712536-1387,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/cafe-coc-quotbusiness-developmentquot,https://d2g8igdw686xgo.cloudfront.net/34220942_1541317711980056_r.jpeg,people blue day purple product child toddler fun girl recreation,people blue day purple product  people   people  fun  people  recreation,0.018518519,0.018518519,0.018518519,0.944444444,1206,131,6,Raised by 6 people in 27 days,0,,11/4/18,12/5/18,30,83
1543711990-1180,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/5t9ilg8,https://d2g8igdw686xgo.cloudfront.net/31320334_1531758330637675_r.jpg,dog dog like mammal dog breed mammal dog breed group vertebrate coton de tulear puppy havanese cavachon,dog dog like mammal dog breed mammal dog breed group vertebrate coton de tulear puppy havanese cavachon,0.013513514,0.013513514,0.013513514,0.959459459,1000,0,0,Campaign created 4 months ago,0,,7/14/18,12/5/18,143,0
1543713267-1657,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/with-bogart-a-business-startup,https://d2g8igdw686xgo.cloudfront.net/23597280_1532653910264604_r.jpeg,text outerwear website brand communication product t shirt media font,text outerwear website brand communication product t shirt media font,0.359649123,0.535087719,0.00877193,0.096491228,2500,3130,34,Raised by 34 people in 4 months,0,,7/24/18,12/5/18,133,181
1543713664-1805,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/bowman-family-fair-business-fire,https://d2g8igdw686xgo.cloudfront.net/29061114_15234985260_r.jpg,demolition earthquake scrap earthquake disaster vehicle rubble,demolition earthquake scrap earthquake disaster vehicle rubble,0.004464286,0.004464286,0.986607143,0.004464286,100000,5220,58,Raised by 58 people in 7 months,0,,4/11/18,12/5/18,237,413
1543713372-1695,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/save-wave,,#N/A,#N/A, , , , ,60000,13230,107,Raised by 107 people in 2 months,   1,https://www.gofundme.com/save-wave#updates,9/6/18,12/5/18,89,692
1543713976-1920,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/AlyssaE,https://d2g8igdw686xgo.cloudfront.net/20546908_fb_1495325111.1176_funds.jpg,land vehicle car vehicle motor vehicle vehicle door automotive tire sport utility vehicle mode of transport rim alloy wheel,land vehicle  vehicle  vehicle motor vehicle vehicle door automotive tire sport utility vehicle mode of transport rim alloy wheel,0.008064516,0.008064516,0.008064516,0.975806452,2000,2075,23,Raised by 23 people in 18 months,   1,https://www.gofundme.com/AlyssaE#updates,5/20/17,12/5/18,563,27
1543711491-1004,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/gemma039s-medical-bills,https://d2g8igdw686xgo.cloudfront.net/33069506_1537289734213223_r.jpeg,dog breed dog like mammal dog dogo guatemalteco dog breed group gull dong dogo argentino snout american pit bull terrier american bulldog,dog breed dog like mammal dog dogo guatemalteco dog breed group gull dong dogo argentino snout american pit bull terrier american bulldog,0.041666667,0.458333333,0.458333333,0.041666667,2500,815,32,Raised by 32 people in 2 months,   5,https://www.gofundme.com/gemma039s-medical-bills#updates,9/18/18,12/5/18,77,1000
1543711787-1104,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/galbraithmedicalfund,https://d2g8igdw686xgo.cloudfront.net/33186924_1537906876283121_r.jpg,people vertebrate fun vacation summer smile child family tree happiness,people vertebrate fun vacation summer  people   people   people  tree happiness,0.975806452,0.008064516,0.008064516,0.008064516,2500,1840,34,Raised by 34 people in 2 months,0,,9/22/18,12/5/18,73,715
1543713547-1761,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-natasha-start-her-business,https://d2g8igdw686xgo.cloudfront.net/28720932_1522293763.8846.jpg,blond girl product fun smile,blond  people  product fun  people ,0.418918919,0.013513514,0.013513514,0.554054054,15000,28741,521,Raised by 521 people in 8 months,0,,3/28/18,12/5/18,251,179
1543713358-1690,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/latisha-business,https://d2g8igdw686xgo.cloudfront.net/23097118_1504215694.9326.jpg,facial expression yellow grass child emotion smile tree fun girl play, people  expression yellow grass  people  emotion  people  tree fun  people  play,0.022727273,0.022727273,0.022727273,0.931818182,500000,400,12,Raised by 12 people in 15 months,   2,https://www.gofundme.com/latisha-business#updates,8/31/17,12/5/18,460,225
1543711504-1009,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-buy-new-work-equipment,https://d2g8igdw686xgo.cloudfront.net/34042852_1540602788657913_r.jpeg,0,0, , , , ,5000,5000,55,Raised by 55 people in 1 month,0,,10/26/18,12/5/18,39,77
1543713252-1651,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/toxic-algae-closed-down-my-business,https://d2g8igdw686xgo.cloudfront.net/32184674_1534389400858506_r.jpeg,beach vacation sea coastal and oceanic landforms tourism coast caribbean shore ocean sky,beach vacation sea coastal and oceanic landforms tourism coast  vehicle ibbean shore ocean sky,0.009615385,0.009615385,0.009615385,0.971153846,5000,1025,20,Raised by 20 people in 3 months,   4,https://www.gofundme.com/toxic-algae-closed-down-my-business#updates,8/19/18,12/5/18,107,344
1543712318-1307,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/h8q5ar-small-business-startup,https://d2g8igdw686xgo.cloudfront.net/25130062_1540136734845976_r.jpeg,cat dragon li small to medium sized cats cat like mammal tabby cat whiskers toyger california spangled domestic short haired cat european shorthair,cat dragon li small to medium sized cats cat like mammal tabby cat whiskers toyger california spangled domestic short  _people ed cat european short _people ,0.704545455,0.022727273,0.022727273,0.25,2000,560,10,Raised by 10 people in 29 days,0,,11/2/18,12/5/18,32,26
1543712056-1206,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/6ewcgwg,https://d2g8igdw686xgo.cloudfront.net/34558292_1542309347754790_r.jpg,text font logo product brand line signage graphics graphic design computer wallpaper,text font logo product brand line signage graphics graphic design computer wallpaper,0.008064516,0.975806452,0.008064516,0.008064516,2500,0,0,Campaign created 16 days ago,0,,11/15/18,12/5/18,19,0
1543712767-1475,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/vincents-3d-printer-fund,https://d2g8igdw686xgo.cloudfront.net/25081482_1509627870.9334.jpg,figurine crystal,figurine crystal,0.007462687,0.007462687,0.97761194,0.007462687,4000,2020,29,Raised by 29 people in 13 months,   6,https://www.gofundme.com/vincents-3d-printer-fund#updates,11/2/17,12/5/18,397,68
1543711873-1135,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-local-start-business,https://d2g8igdw686xgo.cloudfront.net/26878326_15236574020_r.jpeg,0,0, , , , ,1000,0,0,Campaign created 7 months ago,0,,4/13/18,12/5/18,235,0
1543712184-1257,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/buildingblackbusiness,https://d2g8igdw686xgo.cloudfront.net/35001448_1543651011577026_r.jpeg,shed house shack log cabin garden buildings home siding cottage barn facade,shed house shack log cabin garden buildings home siding cottage barn facade,0.015625,0.015625,0.015625,0.953125,2500,10,1,Raised by 1 person in 16 hours,0,,12/1/18,12/5/18,3,0
1543712425-1342,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/ISLPGabija,https://d2g8igdw686xgo.cloudfront.net/27152676_15187618640_r.jpg,text metropolis font city brand advertising skyscraper,text metropolis font city brand advertising skyscraper,0.015625,0.015625,0.015625,0.953125,5000,4265,29,Raised by 29 people in 10 months,0,,1/22/18,12/5/18,316,37
1543713277-1660,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/family-business-destroyed-by-irma,https://d2g8igdw686xgo.cloudfront.net/24084690_15063086160_r.jpg,river water resources flood floodplain natural disaster bank disaster coast,river water resources flood floodplain natural disaster bank disaster coast,0.006493506,0.006493506,0.980519481,0.006493506,50000,9625,27,Raised by 27 people in 14 months,   4,https://www.gofundme.com/family-business-destroyed-by-irma#updates,9/21/17,12/5/18,439,249
1543711497-1006,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-bryan-kidwell039s-walk-again,https://d2g8igdw686xgo.cloudfront.net/32456136_1535325613295205_r.jpeg,mode of transport medical equipment service technology aerospace engineering hospital vehicle medical aviation,mode of transport medical equipment service technology aerospace engineering hospital vehicle medical aviation,0.455223881,0.231343284,0.305970149,0.007462687,150000,112651,918,Raised by 918 people in 3 months,   6,https://www.gofundme.com/help-bryan-kidwell039s-walk-again#updates,8/26/18,12/5/18,100,2200
1543713990-1925,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/Tetra,https://d2g8igdw686xgo.cloudfront.net/25300316_1514491389.428.jpg,food cuisine design pattern,food cuisine design pattern,0.455223881,0.007462687,0.529850746,0.007462687,4000,1915,27,Raised by 27 people in 12 months,   1,https://www.gofundme.com/Tetra#updates,11/28/17,12/5/18,371,51
1543711851-1128,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/help-with-my-teenage-business,https://d2g8igdw686xgo.cloudfront.net/26150224_1513119862.1516.jpg,black sky darkness atmosphere night computer wallpaper midnight celestial event font,black sky darkness atmosphere night computer wallpaper midnight celestial event font,0.010638298,0.010638298,0.010638298,0.968085106,127,0,0,Campaign created 11 months ago,0,,12/12/17,12/5/18,357,0
1543713854-1876,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/journeywomen-back-in-business,https://d2g8igdw686xgo.cloudfront.net/30108080_15271225510_r.jpeg,student audience communication conversation,student audience communication conversation,0.029411765,0.029411765,0.029411765,0.911764706,2500,2885,139,Raised by 139 people in 6 months,0,,5/23/18,12/5/18,195,53
1543711925-1155,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/a-small-business-for-big-dreams,https://d2g8igdw686xgo.cloudfront.net/29351454_1524500870.4459.jpg,eyewear glasses vision care nose eyebrow fashion accessory chin forehead cheek headgear, glasses  glasses vision  vehicle e  people   people  fashion accessory  people   people   people   people gear,0.006944444,0.979166667,0.006944444,0.006944444,500,0,0,Campaign created 7 months ago,0,,4/23/18,12/5/18,225,0
1543713938-1907,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/tragedy-is-still-tough-buisness,https://d2g8igdw686xgo.cloudfront.net/29824420_15260834540_r.jpeg,car vehicle motor vehicle transport van automotive exterior recreational vehicle commercial vehicle minivan, vehicle  vehicle motor vehicle transport van automotive exterior recreational vehicle commercial vehicle minivan,0.00877193,0.973684211,0.00877193,0.00877193,10000,1300,19,Raised by 19 people in 6 months,   1,https://www.gofundme.com/tragedy-is-still-tough-buisness#updates,5/11/18,12/5/18,207,60
1543711543-1024,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/the-gang-raises-money,https://d2g8igdw686xgo.cloudfront.net/23192590_1503433533.2503.jpg,wall ceiling plaster interior design window wallpaper house paint mural,wall ceiling plaster interior design window wallpaper house paint mural,0.018518519,0.203703704,0.018518519,0.759259259,1800,2035,49,Raised by 49 people in 15 months,   2,https://www.gofundme.com/the-gang-raises-money#updates,8/22/17,12/5/18,469,276
1543713172-1625,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/noni-sbusinessschoolfund,https://d2g8igdw686xgo.cloudfront.net/25058690_1513087271.0431.jpg,product paper font brand material product,product paper font brand material product,0.458333333,0.458333333,0.041666667,0.041666667,10000,1195,18,Raised by 18 people in 11 months,   4,https://www.gofundme.com/noni-sbusinessschoolfund#updates,12/13/17,12/5/18,356,323
1543711588-1040,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/motor-home-for-fire-victims,https://d2g8igdw686xgo.cloudfront.net/34621424_1543483339342647_r.jpeg,car land vehicle vehicle transport recreational vehicle van travel trailer trailer automotive exterior compact van, vehicle  land vehicle vehicle transport recreational vehicle van travel trailer trailer automotive exterior compact van,0.00877193,0.973684211,0.00877193,0.00877193,20000,13956,173,Raised by 173 people in 14 days,   13,https://www.gofundme.com/motor-home-for-fire-victims#updates,11/17/18,12/5/18,17,1100
1543713697-1818,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/missys-homebusiness,https://d2g8igdw686xgo.cloudfront.net/24534478_1507588511.4698.jpg,aerial photography sky mountain hill bird's eye view panorama ecoregion horizon flight landscape,aerial photography sky mountain hill bird's eye view panorama ecoregion horizon flight landscape,0.875,0.041666667,0.041666667,0.041666667,15000,10020,76,Raised by 76 people in 13 months,0,,10/9/17,12/5/18,421,395
1543713187-1630,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/uganda-work-for-life-mission,https://d2g8igdw686xgo.cloudfront.net/22205966_fb_1499879137.7618_funds.jpg,ridge mountainous landforms mountain wilderness rock badlands outdoor recreation geological phenomenon summit geology,ridge mountainous landforms mountain wilderness rock badlands outdoor recreation geological phenomenon summit geology,0.909722222,0.006944444,0.076388889,0.006944444,3500,1899,32,Raised by 32 people in 16 months,0,,7/12/17,12/5/18,510,161
1543713337-1682,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=business,,https://www.gofundme.com/helping-to-get-pj-back-in-business,https://d2g8igdw686xgo.cloudfront.net/25051080_1511040364.6433.jpg,text landscape desert aeolian landform soil font wood ecoregion sand sahara,text landscape desert aeolian landform soil font wood ecoregion sand sahara,0.354166667,0.631944444,0.006944444,0.006944444,20000,2075,20,Raised by 20 people in 12 months,   6,https://www.gofundme.com/helping-to-get-pj-back-in-business#updates,11/18/17,12/5/18,381,98
